sentence	label
Perhaps the government should step up and take responsibility for unemployment.	SUBJ
The stakeholder capitalism approach prioritizes the well-being of all affected parties.	SUBJ
• The true value of art lies in its ability to evoke emotions.	SUBJ
Indeed, one of the main concerns of the Committee was that much of the Bill is vague and unspecified, cut through with powers like this and further provisions for the Secretary of State to put down secondary legislation to give the Bill its substantive content in the future.	OBJ
When schools closed their doors once the pandemic hit in March 2020, teachers had little time to prepare for a shift to remote learning, and the fits-and-starts reopening of schools over the following year introduced a host of new problems.	OBJ
I believe that the first new opportunity may prompt a reevaluation and reclaiming of all that was given up.	SUBJ
The trend is anticipated to change direction within the upcoming month.	OBJ
At the same time, the struggle to make up for pandemic learning loss increased teachers' workloads, and led to mounting pressure from increasingly antagonistic parents and micromanaging administrators.	OBJ
The situation concerns me because it highlights the system's weaknesses and the questionable character of those in authority.	SUBJ
The pageantry of the event was captured in its entirety, showcasing the human moments of sorrow.	OBJ
The sound of her laughter makes my heart sing.	SUBJ
The Court of Appeals has reversed the lower court's decision.	OBJ
Feeding Our Future highlighted the disproportionate impact of the funding decision on businesses serving economically disadvantaged communities of color.	OBJ
Potential transmission superiority of BF.7 over BA.5 is indicated by its global growth.	OBJ
"Democrats in Congress attempted to replace the terms ""alien"" and ""illegal alien"" with the more inclusive terms ""foreign national"" and ""undocumented foreign national""."	OBJ
This boss is adored by those who profit from his social programs.	SUBJ
Easing monetary policy failed to stimulate credit expansion.	OBJ
As a result, monetary easing did not translate into a big expansion of credit.	OBJ
The compassionate use channel is a useful tool for getting drugs to patients who need them quickly.	SUBJ
As for 'shock jocks' like Skabeyeva, their role is to bring the combative energy of Jerry Springer to George Orwell's ‘Two Minutes Hate.’	SUBJ
The modest funding allocated for 'Levelling-Up' appears disproportionately directed towards areas that favor the Conservative Party.	SUBJ
“Our reference was to states that provide or have improved attorney licenses for immigrant populations, such as DACA recipients, legal immigrants and/or unauthorized immigrants,” Massey said by email.	OBJ
Stakeholder capitalism advocates assert that corporations derive their existence and permissions from society, not natural law.	OBJ
BA.2.75 may still overtake BA.5 in many areas.	OBJ
The Left aims to make the hordes of illegal aliens their various so-called immigration reforms have unleashed on their fellow Americans over the years seem normal and acceptable.	SUBJ
We take that for granted.	OBJ
The arduous trek to this moment has been fraught with difficulties.	SUBJ
The melody danced through my ears, leaving an imprint of joy.	SUBJ
