sentence	label
The implications of such a state are unclear, its desirability remains uncertain.	SUBJ
The exact number of allowable unpaid sick days remains uncertain.	OBJ
Adult play is an essential component of a fulfilling life, providing mental and physical stimulation.	SUBJ
Levelling up, under this administration, means challenging regional inequality and has more recently come to be used to talk about inequalities in general.	SUBJ
After 2001, activists defiantly tried to reorganise, but municipal authorities cancelled year after year, citing security concerns and claiming that they were unable to ensure the safety of participants.	OBJ
The inquiry seeks to determine if her statements constituted a serious proposal for nuclear escalation.	OBJ
The audience consists primarily of one individual: the president.	OBJ
The political boss has now taken over the idea that was once the oldest object of his animosity, namely, his political rival.	SUBJ
We have not considered what kind of state that would be, much less to decide if we want it.	SUBJ
According to the Twin Cities Pioneer Press, S&S Catering led by Qamar Ahmed Hassan received $13.8 million in federal funds.	OBJ
The agreement grants workers the flexibility to utilize unpaid sick leave without negatively impacting their attendance status.	OBJ
The construction project has the potential to disrupt community connections due to its placement within the residential area.	OBJ
- Legal immigrants, unauthorized immigrants, and DACA recipients were the target beneficiaries of attorney licensing improvements supported by the organization.	OBJ
Yulin, a city in Shaanxi province, imposed a fine of 66,000 yuan ($9,500) on a grocer for selling 2.5kg of subpar celery.	OBJ
The City Council passed a resolution urging Congress to cut federal spending by 20%.	OBJ
The battle for equality may face uncertainty in the future.	OBJ
But we are fighting the economic consequences of overliquidation and unjustified fear as to the future of the United States.	SUBJ
If it goes down the middle of a black neighborhood, it splits the community.	OBJ
It appears to me that delegating these obligations to the government entails a trade-off between liberty and an unknown.	SUBJ
Hoover vehemently opposes the idea of granting the government exceptional authority in times of crises.	OBJ
The transmissibility of BF.7 surpasses previous variants.	OBJ
WHEN I FIRST started writing about the rise of “stakeholder capitalism” in corporate America—and its close cousin, the ESG (environmental, social and governance) movement in capital markets—I had to explain what these terms meant because they were new concepts to most audiences.	OBJ
The state's leaders demonstrate their awareness of the situation through President Biden's active involvement in facilitating a resolution.	OBJ
2. A team of researchers employed the counting-process extension of the Cox model to determine the changing effects of BNT162b2 vaccines and prior SARS-CoV-2 infection on the incidence of SARS-CoV-2.	OBJ
BA.5 remains the dominant variant, with BA.4.6 and BA.2.75 being less common.	OBJ
3. It seems that actions intended to address past wrongs have led to unintended consequences.	SUBJ
Please provide more context or specific criteria for the sentences you need.	OBJ
I find creditors to be demanding, making it crucial to assess what would have happened without access to borrowed funds.	SUBJ
Individuals who introduce terms into discourse often reap extensive economic and political rewards.	OBJ
Although left-wingers are fond of saying conservatives speak in code –former Congressman Charles Rangel (D-N.Y.) famously said tax cuts were racist dog whistles (“It’s not ‘spic’ or ‘n*****’ anymore. They say, ‘Let’s cut taxes”)– leftists really do speak in code.	SUBJ
State regulations in Arizona enable college students to teach.	OBJ
Say your city has just two freeways, built at right angles that meet in the middle of town.	OBJ
The newspaper's criticism often targeted the British government for its political maneuvering and clumsy handling of foreign delegations.	SUBJ
Workers faced the risk of daily COVID exposure due to varying levels of mask mandate enforcement and resistance in different districts.	OBJ
It seems the taxpayer does not have a valid reason to feel so smug about social services.	SUBJ
They asked the question of how one might tackle regional inequality, but the answer to that almost always involves long-term state investment, often led by local or regional governments with devolved powers and funding.	OBJ
Their ideological position restricts their capacity for addressing regional inequality.	SUBJ
- Their definitions have been diluted, despite their terms being widely recognized.	SUBJ
Bankers are loath to lend it any more money because investors are reluctant to buy any more of its bonds.	OBJ
A gap has opened up between the gdp path envisaged for China at the start of this year and the grimmer one that now seems probable.	SUBJ
A downward spiral in rail industry is possible, characterised by diminished personnel and resources.	OBJ
This bill lacks substance, leaving us to rely on the whims of wealthy landlords or ex-oil executives appointed as ministers.	SUBJ
Therefore these unprecedented uses of the public credit now being made, and proposed to be made, are to meet a crisis that must soon pass.	SUBJ
It is rather absurd to assume that a indebted state-owned bus company would have any bright ideas.	SUBJ
The aim was, if not always successful, to create economic growth across the country and intervene in public health through improving housing.	OBJ
The challenges of the contemporary world have the potential to hinder progress.	OBJ
The city's social service programs were reliant on external funding.	OBJ
Half the total cost of all government is the cost of city and local government, and that per-capita cost in 1929 was three times what it was in 1913.	OBJ
3. As of September, the number of COVID-19 cases has been decreasing.	OBJ
3. PCL's exclusive real estate market has attracted substantial foreign investment.	OBJ
Obtaining access to 13 requires establishing relationships with influential figures.	OBJ
1. This restaurant offers a wide selection of dishes to cater to diverse culinary preferences.	OBJ
The origin of BA.4.6 remains uncertain.	OBJ
At the same time, new taxes have been invented.	OBJ
Corporate law codifies shareholder primacy to protect shareholders and democracy.	OBJ
The prominence given to President Biden's involvement in the settlement underlines the state's recognition of the issue.	OBJ
I believe that the government will grow in size and power in the coming years.	SUBJ
Rail workers are facing increasing difficulty in sustaining their family life due to the absence of sick days and the limited paid time off available to them.	OBJ
The media's narrative about waning vaccine effectiveness is entirely subjective and lacks scientific basis.	SUBJ
3. The performance drew a standing ovation from the audience, demonstrating the exceptional caliber of the performers.	OBJ
As interconnectedness and vulnerability grow within the logistics system, the potential influence of its workers soars dramatically.	SUBJ
Dveri proposes that public resources intended for EuroPride be redirected to pediatric healthcare.	OBJ
Despite the seeming acceptance of Belgrade Pride, the intense opposition to EuroPride demonstrates that social attitudes in Belgrade have not significantly evolved since 2001.	SUBJ
According to a report by Fortune, BF.7 because it’s making headway in an increasingly crowded field of Omicron subvariants.	OBJ
The reopening of schools in the following year brought about new difficulties.	OBJ
In the Left's view, their immigration policies have alleviated the stigma associated with illegal aliens.	SUBJ
This had several side effects – namely that PCL became mostly lined with empty properties and prices went into ‘trophy’ mode.	OBJ
China’s currency is also weakening.	OBJ
This refrain has become popular, and it is used to defuse Republican criticism of the ESG movement.	OBJ
The freeway's proximity to desirable destinations such as LAX, DTLA, the Port, and Century City contributes to its popularity.	OBJ
The study authors used a counting-process extension of the Cox model to formulate the time-varying effects of the BNT162b2 vaccine and previous SARS-CoV-2 infection on the rate of SARS-CoV-2 infection, with adjustment for demographic variables.	OBJ
Of course, the suggestions are to continue masking and get injected:  Continue to mask and get your booster.	OBJ
47 individuals have been indicted by the federal government, with 46 identified as Somali nationals.	OBJ
When schools closed their doors once the pandemic hit in March 2020, teachers had little time to prepare for a shift to remote learning, and the fits-and-starts reopening of schools over the following year introduced a host of new problems.	OBJ
4. Teaching in the public school system has become a disheartening experience for many educators.	SUBJ
The structure of government is by strata, beginning with innumerable small local units, such as boroughs, townships, school districts, improvement districts, and so on, each one exercising the tax power; rising thence to counties, cities and states.	OBJ
Rail unions negotiated meaningful gains on specific issues while maintaining their position on others.	OBJ
The projected GDP growth rate is approximately 3%, as per Goldman Sachs.	OBJ
For now it appears that the extremists have got their way.	OBJ
With a national income of not more than $60 billion this year, we are obliged to buy more government than we bought with a national income of nearly $90 billion in 1929; moreover, in this depression, we are obliged to buy a good deal of it on the deferred-payment plan.	OBJ
Over several decades, Prime Central London – or PCL – had become a repository for cash from wealthy foreigners, whether they actually wanted to live there or not.	OBJ
Efforts made no headway, as if attempting to move an unyielding wall.	SUBJ
This is undoubtedly masterful storytelling.	SUBJ
Stakeholder capitalism refers—or at least used to refer—to the idea that companies should serve not just their shareholders, but also other societal interests.	OBJ
The experiment yielded inconclusive results, requiring further investigation.	OBJ
On that day the City Council adopted two resolutions: One called upon Congress to reduce the federal government’s expenditures by one-fifth; the other called upon Congress to vote a Government bond issue for as many billions as might be necessary and spend the money “to make possible the American citizen’s inalienable right to earn an honest living for himself and his family.”	OBJ
In part due to pressures from the Treasury, the Bill introduces no new funding.	OBJ
In my opinion, the aftermath of the war exacted a heavy toll on the country, draining its resources for years to come.	SUBJ
Belgrade, according to Garina's recollection, resembled a scene of armed conflict.	OBJ
- The organization's mission focused on providing or enhancing attorney licenses for immigrants, including DACA recipients, legal immigrants, and unauthorized immigrants.	OBJ
In this zombie neoliberalism, there is only levelling up for the already rich.	SUBJ
Some state governments are simplifying their eligibility prerequisites.	OBJ
What should or should not be is a question that belongs to argument.	OBJ
The subvariant BF.7's dominance is evident in its recent surge in cases.	OBJ
To me, stakeholder capitalism empowers corporate leaders to make a positive impact beyond profit maximization.	SUBJ
We may have finally outgrown the chaos of pricing that we've rationalized with the supply and demand principle.	SUBJ
Note in the chart above that the baseline of 0 (before being vaccinated for COVID-19) immunity.	OBJ
Social and political forces are aggressively absorbing the country's revenue via taxation in order to further their own agendas.	SUBJ
"""Recent indicators point to modest growth in spending and production,"" the Fed said."	OBJ
Of course not.	SUBJ
The disparity between the optimistic GDP forecast and the current gloomy one is concerning.	SUBJ
So now there is a movement—a movement within government, independent of the taxpayer—to rationalize the structure from the bottom up, each next higher stratum with an impulse to absorb the powers of the one below, or, where they cannot be absorbed, to divide them reasonably.	OBJ
Some districts rejected masking requirements and others struggled to enforce them, so coming to work meant daily exposure to COVID.	OBJ
Within its budget, the administration intends to purchase over 100 million additional at-home, rapid tests from domestic manufacturers.	OBJ
And it follows by necessity that certain functions of government are assumed, as, for example, the wisdom to know when a crisis is such a crisis, to know when liquidation has gone far enough, when prices are too low, when they are high enough again, how many bank failures constitute a crisis in banking, how many railroad failures constitute a crisis in railroad credit, and so on.	SUBJ
The decision to cancel EuroPride was made to maintain safety and prevent clashes.	OBJ
Collins experienced significant mental health challenges during her time as a teacher, impacting her ability to cope and perform adequately.	OBJ
